,Country/Region,Continent,Lat,Long,TotalCases,TotalDeaths,TotalRecovered,Date
313,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-26
314,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-27
315,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-28
316,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-29
317,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-30
318,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-31
319,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-06-01
320,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-06-02
321,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-06-03
322,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-06-04
323,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-06-05
324,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-06-06
325,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-06-07
326,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-06-08
327,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-06-09
